"No.","Time","Source","Destination","Protocol","Length","Info"
"180","88.291122694","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3521 Ack=1 Win=64256 Len=40 TSval=3857278995 TSecr=2015095741"
"181","88.291251195","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3561 Win=65152 Len=0 TSval=2015096743 TSecr=3857278995"
"182","89.295028320","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3561 Ack=1 Win=64256 Len=40 TSval=3857279999 TSecr=2015096743"
"183","89.295183071","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3601 Win=65152 Len=0 TSval=2015097747 TSecr=3857279999"
"184","90.298618762","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3601 Ack=1 Win=64256 Len=40 TSval=3857281003 TSecr=2015097747"
"185","90.298800048","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3641 Win=65152 Len=0 TSval=2015098750 TSecr=3857281003"
"186","91.300051773","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3641 Ack=1 Win=64256 Len=40 TSval=3857282004 TSecr=2015098750"
"187","91.300168395","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3681 Win=65152 Len=0 TSval=2015099752 TSecr=3857282004"
"188","92.302430167","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3681 Ack=1 Win=64256 Len=40 TSval=3857283007 TSecr=2015099752"
"189","92.302547830","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3721 Win=65152 Len=0 TSval=2015100754 TSecr=3857283007"
"190","93.305954690","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3721 Ack=1 Win=64256 Len=40 TSval=3857284010 TSecr=2015100754"
"191","93.306054145","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3761 Win=65152 Len=0 TSval=2015101758 TSecr=3857284010"
"192","94.307448352","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3761 Ack=1 Win=64256 Len=40 TSval=3857285011 TSecr=2015101758"
"193","94.307534266","192.168.64.2","192.168.64.3","TCP","68","5000  >  49908 [ACK] Seq=1 Ack=3801 Win=65152 Len=0 TSval=2015102759 TSecr=3857285011"
"194","95.310554542","192.168.64.3","192.168.64.2","TCP","108","49908  >  5000 [PSH, ACK] Seq=3801 Ack=1 Win=64256 Len=40 TSval=3857286014 TSecr=2015102759"
